,Unnamed: 0,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
803,13,41,41,.500,3.0,118.4,118.1,0.32,2023,Atlanta Hawks
804,14,35,47,.427,9.0,113.2,114.4,-1.06,2023,Washington Wizards
805,15,34,48,.415,10.0,111.4,114.0,-2.39,2023,Orlando Magic
806,16,27,55,.329,17.0,111.0,117.2,-5.89,2023,Charlotte Hornets
808,1,53,29,.646,—,115.8,112.5,3.04,2023,Denver Nuggets
809,2,42,40,.512,11.0,115.8,115.8,-0.22,2023,Minnesota Timberwolves
810,3,40,42,.488,13.0,117.5,116.4,0.96,2023,Oklahoma City Thunder
811,4,37,45,.451,16.0,117.1,118.0,-1.03,2023,Utah Jazz
812,5,33,49,.402,20.0,113.4,117.4,-3.96,2023,Portland Trail Blazers
814,7,48,34,.585,—,120.7,118.1,2.30,2023,Sacramento Kings
815,8,45,37,.549,3.0,113.6,111.6,2.08,2023,Phoenix Suns
816,9,44,38,.537,4.0,113.6,113.1,0.31,2023,Los Angeles Clippers
817,10,44,38,.537,4.0,118.9,117.1,1.66,2023,Golden State Warriors
818,11,43,39,.524,5.0,117.2,116.6,0.43,2023,Los Angeles Lakers
820,13,51,31,.622,—,116.9,113.0,3.60,2023,Memphis Grizzlies
821,14,42,40,.512,9.0,114.4,112.5,1.63,2023,New Orleans Pelicans
822,15,38,44,.463,13.0,114.2,114.1,-0.14,2023,Dallas Mavericks
823,16,22,60,.268,29.0,110.7,118.6,-7.62,2023,Houston Rockets
824,17,22,60,.268,29.0,113.0,123.1,-9.82,2023,San Antonio Spurs
825,0,64,18,.780,—,120.6,109.2,10.75,2024,Boston Celtics
826,1,50,32,.610,14.0,112.8,108.2,4.36,2024,New York Knicks
827,2,47,35,.573,17.0,114.6,111.5,2.51,2024,Philadelphia 76ers
828,3,32,50,.390,32.0,110.4,113.3,-3.02,2024,Brooklyn Nets
829,4,25,57,.305,39.0,112.4,118.8,-6.45,2024,Toronto Raptors
831,6,49,33,.598,—,119.0,116.4,2.44,2024,Milwaukee Bucks
832,7,48,34,.585,1.0,112.6,110.2,1.98,2024,Cleveland Cavaliers
833,8,47,35,.573,2.0,123.3,120.2,2.75,2024,Indiana Pacers
834,9,39,43,.476,10.0,112.3,113.7,-1.77,2024,Chicago Bulls
835,10,14,68,.171,35.0,109.9,119.0,-9.06,2024,Detroit Pistons
837,12,47,35,.573,—,110.5,108.4,1.48,2024,Orlando Magic
838,13,46,36,.561,1.0,110.1,108.4,1.10,2024,Miami Heat
839,14,36,46,.439,11.0,118.3,120.5,-2.38,2024,Atlanta Hawks
840,15,21,61,.256,26.0,106.6,116.8,-10.12,2024,Charlotte Hornets
841,16,15,67,.183,32.0,113.7,123.0,-9.29,2024,Washington Wizards
843,1,57,25,.695,—,120.1,112.7,7.36,2024,Oklahoma City Thunder
844,2,57,25,.695,—,114.9,109.6,5.23,2024,Denver Nuggets
845,3,56,26,.683,1.0,113.0,106.5,6.39,2024,Minnesota Timberwolves
846,4,31,51,.378,26.0,115.7,120.5,-4.22,2024,Utah Jazz
847,5,21,61,.256,36.0,106.4,115.4,-8.29,2024,Portland Trail Blazers
849,7,51,31,.622,—,115.6,112.3,3.41,2024,Los Angeles Clippers
850,8,49,33,.598,2.0,116.2,113.2,3.08,2024,Phoenix Suns
851,9,47,35,.573,4.0,118.0,117.4,1.07,2024,Los Angeles Lakers
852,10,46,36,.561,5.0,116.6,114.8,2.29,2024,Sacramento Kings
853,11,46,36,.561,5.0,117.8,115.2,2.77,2024,Golden State Warriors
855,13,50,32,.610,—,117.9,115.6,2.30,2024,Dallas Mavericks
856,14,49,33,.598,1.0,115.1,110.7,4.46,2024,New Orleans Pelicans
857,15,41,41,.500,9.0,114.3,113.2,1.24,2024,Houston Rockets
858,16,27,55,.329,23.0,105.8,112.8,-6.57,2024,Memphis Grizzlies
859,17,22,60,.268,28.0,112.1,118.6,-5.80,2024,San Antonio Spurs
860,0,61,21,.744,—,116.3,107.2,8.28,2025,Boston Celtics
861,1,51,31,.622,10.0,115.8,111.7,3.59,2025,New York Knicks
862,2,30,52,.366,31.0,110.9,115.2,-4.40,2025,Toronto Raptors
863,3,26,56,.317,35.0,105.1,112.2,-6.95,2025,Brooklyn Nets
864,4,24,58,.293,37.0,109.6,115.8,-6.29,2025,Philadelphia 76ers
866,6,64,18,.780,—,121.9,112.4,8.81,2025,Cleveland Cavaliers
867,7,50,32,.610,14.0,117.4,115.1,1.68,2025,Indiana Pacers
868,8,48,34,.585,16.0,115.5,113.0,2.12,2025,Milwaukee Bucks
869,9,44,38,.537,20.0,115.5,113.6,1.73,2025,Detroit Pistons
870,10,39,43,.476,25.0,117.8,119.4,-1.83,2025,Chicago Bulls
872,12,41,41,.500,—,105.4,105.5,-0.70,2025,Orlando Magic
873,13,40,42,.488,1.0,118.2,119.3,-1.41,2025,Atlanta Hawks
874,14,37,45,.451,4.0,110.6,110.0,0.11,2025,Miami Heat
875,15,19,63,.232,22.0,105.1,114.2,-9.10,2025,Charlotte Hornets
876,16,18,64,.220,23.0,108.0,120.4,-12.14,2025,Washington Wizards
878,1,68,14,.829,—,120.5,107.6,12.70,2025,Oklahoma City Thunder
879,2,50,32,.610,18.0,120.8,116.9,3.97,2025,Denver Nuggets
880,3,49,33,.598,19.0,114.3,109.3,5.15,2025,Minnesota Timberwolves
881,4,36,46,.439,32.0,110.9,113.9,-2.67,2025,Portland Trail Blazers
882,5,17,65,.207,51.0,111.9,121.2,-8.51,2025,Utah Jazz
884,7,50,32,.610,—,113.4,112.2,1.45,2025,Los Angeles Lakers
885,8,50,32,.610,—,112.9,108.2,4.84,2025,Los Angeles Clippers
886,9,48,34,.585,2.0,113.8,110.5,3.56,2025,Golden State Warriors
887,10,40,42,.488,10.0,115.7,115.3,0.58,2025,Sacramento Kings
888,11,36,46,.439,14.0,113.6,116.6,-2.55,2025,Phoenix Suns
890,13,52,30,.634,—,114.3,109.8,4.97,2025,Houston Rockets
891,14,48,34,.585,4.0,121.7,116.9,4.79,2025,Memphis Grizzlies
892,15,39,43,.476,13.0,114.2,115.4,-0.74,2025,Dallas Mavericks
893,16,34,48,.415,18.0,113.9,116.7,-2.45,2025,San Antonio Spurs
894,17,21,61,.256,31.0,109.8,119.3,-8.59,2025,New Orleans Pelicans
